Name,ID,Course,Level,Section,Q1_SLO1,Q2_SLO1,Q3_SLO1,Q4_SLO1,Q5_SLO1,Q6_SLO1,Q7_SLO1,Q8_SLO1,Q9_SLO1,Q10_SLO1,Q11_SLO1,Q12_SLO1,Q13_SLO1,Q14_SLO2,Q15_SLO2,Q16_SLO2,Q17_SLO2,Q18_SLO2,Q19_SLO2,Q20_SLO2,Q21_SLO2,Q22_SLO2,Q23_SLO2,Q24_SLO3,Q25_SLO3,Q26_SLO3,Q27_SLO4,Q28_SLO4,Q29_SLO4,Q30_SLO4,Q31_SLO4,Q32_SLO4,Q33_SLO5,Q34_SLO5,Q35_SLO5,Q36_SLO5,Q37_SLO5,Q38_SLO5,Q39_SLO5,Q40_SLO5,Q41_SLO5,Q42_SLO5,Q43_SLO5,Q44_SLO5,Q45_SLO5,Q46_SLO6,Q47_SLO6,Q48_SLO6,Q49_SLO6,Q50_SLO6,Q51_SLO6,Q52_SLO6,Q53_SLO6,Q54_SLO6,Q55_SLO6,Q56_SLO7,Q57_SLO7,Q58_SLO7,Q59_SLO7,Q60_SLO7,Q61_SLO7,Q62_SLO7,Q63_SLO8,Q64_SLO8,Q65_SLO8,Q66_SLO8,Q67_SLO9,Q68_SLO8,Q69_SLO8,Q70_SLO9,Q71_SLO8
Jairon,5028176,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Brogan,8337248,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2
Jim,3323329,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,0,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2
Adelle,2246243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacori,2078744,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seyla,7170012,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Bernece,4400461,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,0,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2
Lyndsi,9548354,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Raheim,4702360,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anahi,7371515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherylene,6008362,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Jannett,7081999,Grammar,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athena,5901818,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Abraham,3537696,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Kayda,7528389,Grammar,4,A,0,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2
Niel,1264970,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Rosario,7312170,Grammar,4,A,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,0,0,2,2,2,2,1,1,0,1,2,2,2,2,2
Ahmiya,6358566,Grammar,4,A,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,0,1,0,2,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,2
Carrissa,1661128,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Christifer,9089359,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Rollin,4782049,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Marty,7719778,Grammar,4,A,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,0,0,2,2,2,2,1,1,0,1,2,2,2,2,2
Eleana,4914033,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Jera,3780460,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
Jeanelle,8725049,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Melisssa,7508077,Grammar,4,A,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,0,2,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,2,2,2
Chase,4539032,Grammar,4,A,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
Aquilla,4103936,Grammar,4,A,1,1,1,1,1,1,0,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,0,1,2,2,1,2,1,1,1,1,2,2,2,2,2
